id;cont_run;ctry_run;iso3;iso_wdpa;ctry_long_name;ctry_geofab;cont_geofab;ctry_osmfr;cont_osmfr;area_code;area_name;area_ctry;area_cont
94;Asia;Timor-Leste;TLS;TLS;Timor-Leste;NA;NA;east_timor;asia;TLS;Timor-Leste;Timor-Leste;Asia
95;Asia;Vietnam;VNM;VNM;Viet Nam;vietnam;asia;NA;NA;VNM;Vietnam;Vietnam;Asia
96;Asia;Vanuatu;VUT;VUT;Vanuatu;NA;NA;vanuatu;oceania;VUT;Vanuatu;Vanuatu;Asia
97;Brazil;Acre;BRA-AC;BRA;Acre;NA;NA;north/acre;south-america/brazil;AC;Brazil – Acre;Brazil;America
98;Brazil;Alagoas;BRA-AL;BRA;Alagoas;NA;NA;northeast/alagoas;south-america/brazil;AL;Brazil – Alagoas;Brazil;America
99;Brazil;Amazonas;BRA-AM;BRA;Amazonas;NA;NA;north/amazonas;south-america/brazil;AM;Brazil – Amazonas;Brazil;America
100;Brazil;Amapa;BRA-AP;BRA;Amapá;NA;NA;north/amapa;south-america/brazil;AP;Brazil – Amapa;Brazil;America
101;Brazil;Bahia;BRA-BA;BRA;Bahia;NA;NA;northeast/bahia;south-america/brazil;BA;Brazil – Bahia;Brazil;America
102;Brazil;Ceara;BRA-CE;BRA;Ceará;NA;NA;northeast/ceara;south-america/brazil;CE;Brazil – Ceara;Brazil;America
103;Brazil;Espirito Santo;BRA-ES;BRA;Espírito Santo;NA;NA;southeast/espirito-santo;south-america/brazil;ES;Brazil – Espirito Santo;Brazil;America
104;Brazil;Goias;BRA-GO;BRA;Goiás;NA;NA;central-west/goias;south-america/brazil;GO;Brazil – Goias;Brazil;America
105;Brazil;Maranhao;BRA-MA;BRA;Maranhão;NA;NA;northeast/maranhao;south-america/brazil;MA;Brazil – Maranhao;Brazil;America
106;Brazil;Minas Gerais;BRA-MG;BRA;Minas Gerais;NA;NA;southeast/minas-gerais;south-america/brazil;MG;Brazil – Minas Gerais;Brazil;America
107;Brazil;Mato Grosso do Sul;BRA-MS;BRA;Mato Grosso do Sul;NA;NA;central-west/mato-grosso-do-sul;south-america/brazil;MS;Brazil – Mato Grosso do Sul;Brazil;America
108;Brazil;Mato Grosso;BRA-MT;BRA;Mato Grosso;NA;NA;central-west/mato-grosso;south-america/brazil;MT;Brazil – Mato Grosso;Brazil;America
109;Brazil;Para;BRA-PA;BRA;Pará;NA;NA;north/para;south-america/brazil;PA;Brazil – Para;Brazil;America
110;Brazil;Paraiba;BRA-PB;BRA;Paraíba;NA;NA;northeast/paraiba;south-america/brazil;PB;Brazil – Paraiba;Brazil;America
111;Brazil;Pernambouco;BRA-PE;BRA;Pernambouco;NA;NA;northeast/pernambuco;south-america/brazil;PE;Brazil – Pernambouco;Brazil;America
112;Brazil;Piaui;BRA-PI;BRA;Piauí;NA;NA;northeast/piaui;south-america/brazil;PI;Brazil – Piaui;Brazil;America
113;Brazil;Parana;BRA-PR;BRA;Paraná;NA;NA;south/parana;south-america/brazil;PR;Brazil – Parana;Brazil;America
114;Brazil;Rio de Janeiro;BRA-RJ;BRA;Rio de Janeiro;NA;NA;southeast/rio-de-janeiro;south-america/brazil;RJ;Brazil – Rio de Janeiro;Brazil;America
115;Brazil;Rio Grande do Norte;BRA-RN;BRA;Rio Grande do Norte;NA;NA;northeast/rio-grande-do-norte;south-america/brazil;RN;Brazil – Rio Grande do Norte;Brazil;America
116;Brazil;Rondonia;BRA-RO;BRA;Rondônia;NA;NA;north/rondonia;south-america/brazil;RO;Brazil – Rondonia;Brazil;America
117;Brazil;Roraima;BRA-RR;BRA;Roraima;NA;NA;north/roraima;south-america/brazil;RR;Brazil – Roraima;Brazil;America
118;Brazil;Rio Grande do Sul;BRA-RS;BRA;Rio Grande do Sul;NA;NA;south/rio-grande-do-sul;south-america/brazil;RS;Brazil – Rio Grande do Sul;Brazil;America
119;Brazil;Santa Catarina;BRA-SC;BRA;Santa Catarina;NA;NA;south/santa-catarina;south-america/brazil;SC;Brazil – Santa Catarina;Brazil;America
120;Brazil;Sergipe;BRA-SE;BRA;Sergipe;NA;NA;northeast/sergipe;south-america/brazil;SE;Brazil – Sergipe;Brazil;America
121;Brazil;Sao Paulo;BRA-SP;BRA;São Paulo;NA;NA;southeast/sao-paulo;south-america/brazil;SP;Brazil – Sao Paulo;Brazil;America
122;Brazil;Tocantins;BRA-TO;BRA;Tocantins;NA;NA;north/tocantins;south-america/brazil;TO;Brazil – Tocantins;Brazil;America
123;Chile;Antofagasta;CHL-II;CHL;Antofagasta;NA;NA;antofagasta;south-america/chile;II;Chile – Antofagasta;Chile;America
124;Chile;Araucania;CHL-IX;CHL;Araucanía;NA;NA;araucania;south-america/chile;IX;Chile – Araucania;Chile;America
125;Chile;Arica y Parinacota;CHL-XV;CHL;Arica y Parinacota;NA;NA;arica_y_parinacota;south-america/chile;XV;Chile – Arica y Paranacota;Chile;America
126;Chile;Atacama;CHL-III;CHL;Atacama;NA;NA;atacama;south-america/chile;III;Chile – Atacama;Chile;America
127;Chile;Aysen;CHL-XI;CHL;Aysén;NA;NA;aysen;south-america/chile;XI;Chile – Aysen;Chile;America
128;Chile;Biobio;CHL-VIII;CHL;Biobío;NA;NA;biobio;south-america/chile;VIII;Chile – Biobio;Chile;America
129;Chile;Coquimbo;CHL-IV;CHL;Coquimbo;NA;NA;coquimbo;south-america/chile;IV;Chile – Coquimbo;Chile;America
130;Chile;Los Lagos;CHL-X;CHL;Los Lagos;NA;NA;los_lagos;south-america/chile;X;Chile – Los Lagos;Chile;America
131;Chile;Los Rios;CHL-XIV;CHL;Los Ríos;NA;NA;los_rios;south-america/chile;XIV;Chile – Los Rios;Chile;America
132;Chile;Magallanes;CHL-XII;CHL;Magallanes;NA;NA;magallanes;south-america/chile;XII;Chile – Magallanes;Chile;America
133;Chile;Maule;CHL-VII;CHL;Maule;NA;NA;maule;south-america/chile;VII;Chile – Maule;Chile;America
134;Chile;Nuble;CHL-XVI;CHL;Ñuble;NA;NA;nuble;south-america/chile;XVI;Chile – Nuble;Chile;America
135;Chile;O’Higgins;CHL-VI;CHL;O’Higgins;NA;NA;o_higgins;south-america/chile;VI;Chile – O’Higgins;Chile;America
136;Chile;Santiago;CHL-XIII;CHL;Santiago;NA;NA;santiago;south-america/chile;XIII;Chile – Santiago;Chile;America
137;Chile;Tarapaca;CHL-I;CHL;Tarapaca;NA;NA;tarapaca;south-america/chile;I;Chile – Taracapa;Chile;America
138;Chile;Valparaiso;CHL-V;CHL;Valparaíso;NA;NA;valparaiso;south-america/chile;V;Chile – Valparaiso;Chile;America
